datetime,timestamp,open,high,low,close,volume
2025-09-07 11:00:00,1757242800000,4305.16,4309.21,4301.65,4309.21,778.32821073
2025-09-07 12:00:00,1757246400000,4309.97,4309.97,4296.19,4299.21,192.1441316
2025-09-07 13:00:00,1757250000000,4299.21,4305.69,4290.7,4304.44,288.86957929
2025-09-07 14:00:00,1757253600000,4304.44,4309.15,4297.36,4298.53,398.1986096
2025-09-07 15:00:00,1757257200000,4298.54,4304.04,4296.5,4297.88,177.29859239
2025-09-07 16:00:00,1757260800000,4298.16,4300.66,4282.46,4283.2,402.10375676
2025-09-07 17:00:00,1757264400000,4283.54,4287.14,4273.39,4275.78,147.24025911
2025-09-07 18:00:00,1757268000000,4275.78,4283.22,4270.02,4281.63,453.60582873
2025-09-07 19:00:00,1757271600000,4281.63,4295.0,4278.53,4292.21,493.10526401
2025-09-07 20:00:00,1757275200000,4292.22,4299.99,4281.47,4299.81,129.54113483
2025-09-07 21:00:00,1757278800000,4299.87,4299.88,4289.34,4290.0,183.65679891
2025-09-07 22:00:00,1757282400000,4290.0,4310.0,4290.0,4309.99,136.43856985
2025-09-07 23:00:00,1757286000000,4310.0,4335.74,4299.18,4305.19,1256.74144795
2025-09-08 00:00:00,1757289600000,4305.19,4317.36,4295.0,4299.21,105.76514903
2025-09-08 01:00:00,1757293200000,4299.21,4299.67,4285.22,4292.18,161.04206907
2025-09-08 02:00:00,1757296800000,4292.19,4308.66,4280.0,4308.66,217.55586115
2025-09-08 03:00:00,1757300400000,4308.77,4329.41,4304.44,4310.98,147.25578642
2025-09-08 04:00:00,1757304000000,4311.34,4313.0,4295.54,4297.98,363.10562938
2025-09-08 05:00:00,1757307600000,4297.66,4303.26,4289.37,4297.29,89.47949493
2025-09-08 06:00:00,1757311200000,4297.29,4301.65,4289.81,4295.01,404.33304933
2025-09-08 07:00:00,1757314800000,4295.01,4310.59,4289.1,4289.99,2185.15096686
2025-09-08 08:00:00,1757318400000,4290.0,4303.65,4288.89,4299.97,961.58003549
2025-09-08 09:00:00,1757322000000,4300.0,4331.08,4299.88,4317.55,2328.28275921
2025-09-08 10:00:00,1757325600000,4318.17,4336.89,4316.12,4328.48,1437.39917075
2025-09-08 11:00:00,1757329200000,4328.48,4328.48,4300.78,4312.04,529.74229161
2025-09-08 12:00:00,1757332800000,4311.7,4322.2,4306.23,4319.51,321.58332379
2025-09-08 13:00:00,1757336400000,4319.52,4360.1,4317.99,4317.99,3102.83375643
2025-09-08 14:00:00,1757340000000,4318.0,4356.49,4316.0,4348.26,1031.4564805
2025-09-08 15:00:00,1757343600000,4348.27,4383.22,4346.16,4371.57,3163.41993394
2025-09-08 16:00:00,1757347200000,4371.59,4372.3,4335.27,4339.0,1903.34344025
2025-09-08 17:00:00,1757350800000,4339.01,4342.83,4302.57,4311.09,962.56546068
2025-09-08 18:00:00,1757354400000,4311.1,4335.83,4311.0,4331.75,687.50762953
2025-09-08 19:00:00,1757358000000,4331.75,4331.75,4285.0,4288.01,1145.12758661
2025-09-08 20:00:00,1757361600000,4291.26,4300.0,4282.12,4298.29,395.15577803
2025-09-08 21:00:00,1757365200000,4298.3,4320.86,4295.24,4320.86,214.05487174
2025-09-08 22:00:00,1757368800000,4320.85,4328.75,4309.68,4311.12,244.81679057
2025-09-08 23:00:00,1757372400000,4311.12,4319.72,4298.92,4307.5,424.33431301
2025-09-09 00:00:00,1757376000000,4306.85,4314.31,4291.11,4301.86,338.54407864
2025-09-09 01:00:00,1757379600000,4302.04,4307.51,4285.0,4285.83,426.43428286
2025-09-09 02:00:00,1757383200000,4285.84,4293.98,4279.01,4291.83,357.84394859
2025-09-09 03:00:00,1757386800000,4291.73,4308.0,4290.38,4307.99,323.86534226
2025-09-09 04:00:00,1757390400000,4308.0,4315.0,4305.0,4313.98,157.40033632
2025-09-09 05:00:00,1757394000000,4313.99,4318.0,4303.82,4318.0,164.78666993
2025-09-09 06:00:00,1757397600000,4318.0,4375.32,4316.02,4365.11,1597.62560137
2025-09-09 07:00:00,1757401200000,4365.35,4387.48,4349.28,4361.07,3516.80699799
2025-09-09 08:00:00,1757404800000,4361.08,4366.04,4345.01,4358.99,669.12918761
2025-09-09 09:00:00,1757408400000,4359.0,4366.06,4354.88,4357.5,520.45672139
2025-09-09 10:00:00,1757412000000,4357.51,4360.0,4345.0,4349.64,595.72620221
2025-09-09 11:00:00,1757415600000,4349.64,4354.85,4345.1,4349.71,552.99671462
2025-09-09 12:00:00,1757419200000,4349.72,4366.23,4331.84,4348.16,632.50102708
2025-09-09 13:00:00,1757422800000,4348.16,4360.07,4327.4,4346.84,686.51719589
2025-09-09 14:00:00,1757426400000,4346.85,4360.35,4285.0,4307.29,1635.60243838
2025-09-09 15:00:00,1757430000000,4306.74,4306.93,4277.11,4286.06,1414.24633656
2025-09-09 16:00:00,1757433600000,4286.06,4296.49,4280.26,4287.53,450.68458644
2025-09-09 17:00:00,1757437200000,4287.53,4295.85,4280.72,4283.42,251.03996741
2025-09-09 18:00:00,1757440800000,4283.43,4292.97,4268.83,4287.6,2132.01154385
