datetime,timestamp,open,high,low,close,volume
2025-09-07 11:00:00,1757242800000,111179.5,111227.6,111162.1,111227.6,8.62718471
2025-09-07 12:00:00,1757246400000,111227.6,111255.1,111089.7,111101.7,25.67415195
2025-09-07 13:00:00,1757250000000,111101.7,111203.3,111089.8,111203.3,23.92200541
2025-09-07 14:00:00,1757253600000,111203.3,111344.4,111093.2,111119.8,14.08886768
2025-09-07 15:00:00,1757257200000,111119.8,111309.7,111119.7,111309.7,16.32716551
2025-09-07 16:00:00,1757260800000,111309.7,111339.4,111188.8,111197.4,5.97783125
2025-09-07 17:00:00,1757264400000,111197.5,111197.5,110964.1,110964.2,16.82339491
2025-09-07 18:00:00,1757268000000,110964.2,111044.2,110878.9,111044.2,13.12543963
2025-09-07 19:00:00,1757271600000,111044.2,111222.0,111044.2,111222.0,13.16432044
2025-09-07 20:00:00,1757275200000,111222.0,111335.1,111125.3,111335.1,45.79664504
2025-09-07 21:00:00,1757278800000,111335.1,111335.1,111100.0,111100.1,8.72720522
2025-09-07 22:00:00,1757282400000,111100.0,111269.9,111059.2,111229.0,13.53784726
2025-09-07 23:00:00,1757286000000,111229.0,111526.8,111071.0,111152.8,17.53117883
2025-09-08 00:00:00,1757289600000,111152.8,111247.1,110752.8,110856.9,152.73636268
2025-09-08 01:00:00,1757293200000,110856.9,110937.5,110733.2,110867.6,60.29599433
2025-09-08 02:00:00,1757296800000,110867.6,111300.0,110667.7,111184.8,28.34333222
2025-09-08 03:00:00,1757300400000,111184.9,111303.4,111043.3,111043.4,5.1041957
2025-09-08 04:00:00,1757304000000,111043.4,111119.9,110913.2,110945.1,31.30845833
2025-09-08 05:00:00,1757307600000,110945.1,110975.6,110923.6,110969.9,5.60305492
2025-09-08 06:00:00,1757311200000,110969.9,111121.8,110968.0,111121.8,5.38289278
2025-09-08 07:00:00,1757314800000,111121.8,111525.2,111121.7,111280.4,24.4409054
2025-09-08 08:00:00,1757318400000,111280.4,111800.0,111263.4,111619.2,36.13467297
2025-09-08 09:00:00,1757322000000,111619.2,112009.1,111619.2,112009.1,57.88577353
2025-09-08 10:00:00,1757325600000,112009.1,112114.3,111927.6,112015.5,50.22804069
2025-09-08 11:00:00,1757329200000,112015.5,112079.3,111808.0,112079.3,21.8682019
2025-09-08 12:00:00,1757332800000,112079.3,112079.3,111929.1,112037.6,13.94889547
2025-09-08 13:00:00,1757336400000,112037.6,112338.2,111897.6,111903.0,37.20408201
2025-09-08 14:00:00,1757340000000,111903.1,112720.7,111898.4,112607.5,44.74216111
2025-09-08 15:00:00,1757343600000,112607.5,112864.4,112550.0,112590.0,60.49731075
2025-09-08 16:00:00,1757347200000,112590.0,112619.7,112344.9,112396.7,48.44253646
2025-09-08 17:00:00,1757350800000,112396.7,112500.0,112160.8,112201.3,47.70754236
2025-09-08 18:00:00,1757354400000,112201.3,112479.1,112201.2,112479.0,52.79331296
2025-09-08 19:00:00,1757358000000,112479.1,112479.1,112014.5,112014.8,24.71309548
2025-09-08 20:00:00,1757361600000,112015.1,112127.8,111921.5,112022.5,41.44167884
2025-09-08 21:00:00,1757365200000,112022.5,112329.9,111955.8,112329.8,23.19886328
2025-09-08 22:00:00,1757368800000,112329.9,112431.9,112285.4,112285.5,12.59587893
2025-09-08 23:00:00,1757372400000,112285.5,112285.5,112050.0,112050.1,10.12998501
2025-09-09 00:00:00,1757376000000,112050.1,112050.5,111500.0,111680.1,37.32147256
2025-09-09 01:00:00,1757379600000,111680.1,111700.8,111352.7,111422.4,27.9418868
2025-09-09 02:00:00,1757383200000,111422.4,111430.8,111196.8,111304.6,15.88635907
2025-09-09 03:00:00,1757386800000,111304.7,111743.0,111262.6,111739.8,15.79338261
2025-09-09 04:00:00,1757390400000,111739.9,112022.5,111678.0,112012.9,22.7778911
2025-09-09 05:00:00,1757394000000,112012.9,112244.8,111912.4,112237.9,19.86452443
2025-09-09 06:00:00,1757397600000,112237.9,113100.3,112218.8,113017.4,114.49060139
2025-09-09 07:00:00,1757401200000,113017.4,113200.0,112817.4,113010.3,61.65071198
2025-09-09 08:00:00,1757404800000,113010.4,113148.5,112907.8,112919.6,54.8706153
2025-09-09 09:00:00,1757408400000,112919.7,113000.0,112919.6,112942.4,21.63025972
2025-09-09 10:00:00,1757412000000,112942.5,113018.4,112705.5,112714.5,14.97516533
2025-09-09 11:00:00,1757415600000,112714.5,112813.3,112507.5,112507.6,17.22193699
2025-09-09 12:00:00,1757419200000,112507.6,112798.8,112487.6,112655.7,37.69297576
2025-09-09 13:00:00,1757422800000,112655.7,112898.8,112599.4,112766.4,120.69802331
2025-09-09 14:00:00,1757426400000,112766.5,112890.9,111575.1,111823.7,91.29510358
2025-09-09 15:00:00,1757430000000,111823.7,111823.7,110815.3,110888.4,211.56070646
2025-09-09 16:00:00,1757433600000,110888.5,111130.9,110820.1,110968.0,230.51399218
2025-09-09 17:00:00,1757437200000,110968.0,111173.8,110934.8,111037.2,67.66128185
2025-09-09 18:00:00,1757440800000,111037.3,111300.9,110958.9,111176.5,54.06699381
2025-09-09 19:00:00,1757444400000,111176.5,111348.3,111176.4,111348.3,14.22831127
2025-09-09 20:00:00,1757448000000,111348.3,111486.1,111049.0,111486.1,177.13000809
2025-09-09 21:00:00,1757451600000,111486.1,111692.6,111309.0,111309.1,49.0633197
2025-09-09 22:00:00,1757455200000,111309.0,111549.9,111309.0,111549.9,7.33843257
2025-09-09 23:00:00,1757458800000,111549.9,111558.1,111391.8,111541.0,17.41081711
2025-09-10 00:00:00,1757462400000,111541.0,111541.0,110987.6,110987.6,51.03735114
2025-09-10 01:00:00,1757466000000,110987.7,111137.8,110934.0,110959.8,12.82877508
2025-09-10 02:00:00,1757469600000,110959.9,111473.2,110959.9,111391.9,11.13255082
2025-09-10 03:00:00,1757473200000,111391.9,111528.2,111383.8,111477.8,6.56129691
2025-09-10 04:00:00,1757476800000,111477.9,111600.0,111408.5,111512.7,5.46152984
2025-09-10 05:00:00,1757480400000,111512.7,111641.8,111390.7,111507.8,10.11417882
2025-09-10 06:00:00,1757484000000,111507.8,111926.3,111455.8,111815.9,32.99909253
2025-09-10 07:00:00,1757487600000,111815.9,112547.8,111815.7,112531.6,64.94314108
