timestamp,pair,price,volume,bid,ask,low,high,vwap,trades
2024-12-18 04:19:09,XETHZUSD,3843.46,2900.40448511,3843.45,3843.46,3837.79,3903.21,3866.28364,3295
2024-12-18 04:19:13,XETHZUSD,3844.47,2902.41608511,3844.47,3844.48,3837.79,3903.21,3866.26852,3298
2024-12-18 04:19:17,XETHZUSD,3844.47,2902.41608511,3844.47,3844.48,3837.79,3903.21,3866.26852,3298
2024-12-18 04:19:20,XETHZUSD,3844.47,2902.41608511,3844.47,3844.48,3837.79,3903.21,3866.26852,3298
2024-12-18 04:19:24,XETHZUSD,3844.48,2902.42058511,3844.47,3844.48,3837.79,3903.21,3866.26848,3299
2024-12-18 04:19:27,XETHZUSD,3844.48,2902.42058511,3844.47,3844.48,3837.79,3903.21,3866.26848,3299
2024-12-18 04:19:31,XETHZUSD,3844.48,2902.42058511,3844.47,3844.48,3837.79,3903.21,3866.26848,3299
2024-12-18 04:19:34,XETHZUSD,3845.12,2902.42381512,3845.7,3845.71,3837.79,3903.21,3866.26846,3301
2024-12-18 04:19:37,XETHZUSD,3845.12,2902.42381512,3845.7,3845.71,3837.79,3903.21,3866.26846,3301
2024-12-18 04:19:41,XETHZUSD,3847.03,2904.07999223,3847.02,3847.03,3837.79,3903.21,3866.25676,3317
2024-12-18 04:19:44,XETHZUSD,3847.03,2904.07999223,3847.02,3847.03,3837.79,3903.21,3866.25676,3317
2024-12-18 04:19:47,XETHZUSD,3847.03,2904.07999223,3847.02,3847.03,3837.79,3903.21,3866.25676,3317
2024-12-18 04:19:51,XETHZUSD,3847.02,2904.1826655,3847.02,3847.03,3837.79,3903.21,3866.25608,3318
2024-12-18 04:19:54,XETHZUSD,3847.02,2904.18678102,3847.02,3847.03,3837.79,3903.21,3866.25605,3319
2024-12-18 04:19:58,XETHZUSD,3847.02,2904.18678102,3847.02,3847.03,3837.79,3903.21,3866.25605,3319
2024-12-18 04:20:01,XETHZUSD,3847.02,2904.18678102,3847.02,3847.03,3837.79,3903.21,3866.25605,3319
2024-12-18 04:20:04,XETHZUSD,3847.02,2904.18678102,3847.02,3847.03,3837.79,3903.21,3866.25605,3319
2024-12-18 04:20:07,XETHZUSD,3847.02,2904.18678102,3847.02,3847.03,3837.79,3903.21,3866.25605,3319
2024-12-18 04:20:10,XETHZUSD,3847.02,2904.18678102,3847.02,3847.03,3837.79,3903.21,3866.25605,3319
2024-12-18 04:20:14,XETHZUSD,3847.02,2904.18678102,3847.02,3847.03,3837.79,3903.21,3866.25605,3319
2024-12-18 04:20:17,XETHZUSD,3847.02,2904.18678102,3847.02,3847.03,3837.79,3903.21,3866.25605,3319
2024-12-18 04:20:20,XETHZUSD,3847.02,2904.18678102,3847.02,3847.03,3837.79,3903.21,3866.25605,3319
2024-12-18 04:20:23,XETHZUSD,3848.01,2904.21207533,3847.84,3848.05,3837.79,3903.21,3866.25589,3323
