timestamp,pair,price,volume,bid,ask,low,high,vwap,trades
2024-12-18 04:19:09,XXBTZUSD,104328.1,431.45393943,104320.7,104320.8,104200.0,106489.3,105162.17747,9104
2024-12-18 04:19:13,XXBTZUSD,104340.0,431.46352419,104350.0,104350.1,104200.0,106489.3,105162.15903,9116
2024-12-18 04:19:16,XXBTZUSD,104340.0,431.46352419,104350.0,104350.1,104200.0,106489.3,105162.15903,9116
2024-12-18 04:19:20,XXBTZUSD,104380.0,431.4702245,104379.9,104380.0,104200.0,106489.3,105162.14671,9124
2024-12-18 04:19:24,XXBTZUSD,104380.0,431.4725624,104383.4,104383.5,104200.0,106489.3,105162.14247,9125
2024-12-18 04:19:27,XXBTZUSD,104380.0,431.4725624,104383.4,104383.5,104200.0,106489.3,105162.14247,9125
2024-12-18 04:19:31,XXBTZUSD,104380.0,431.4725624,104383.4,104383.5,104200.0,106489.3,105162.14247,9125
2024-12-18 04:19:34,XXBTZUSD,104383.4,431.47297079,104383.4,104383.5,104200.0,106489.3,105162.14173,9126
2024-12-18 04:19:37,XXBTZUSD,104383.5,431.47510579,104383.4,104383.5,104200.0,106489.3,105162.13788,9130
2024-12-18 04:19:41,XXBTZUSD,104394.6,431.49510579,104394.5,104394.6,104200.0,106489.3,105162.10231,9134
2024-12-18 04:19:44,XXBTZUSD,104394.5,431.61303579,104394.5,104394.6,104200.0,106489.3,105161.89257,9136
2024-12-18 04:19:47,XXBTZUSD,104394.5,431.61324908,104394.5,104394.6,104200.0,106489.3,105161.89219,9137
2024-12-18 04:19:51,XXBTZUSD,104432.7,431.64127943,104430.0,104430.1,104200.0,106489.3,105161.84464,9141
2024-12-18 04:19:54,XXBTZUSD,104432.7,431.64127943,104430.0,104430.1,104200.0,106489.3,105161.84464,9141
2024-12-18 04:19:57,XXBTZUSD,104432.7,431.64127943,104430.0,104430.1,104200.0,106489.3,105161.84464,9141
2024-12-18 04:20:01,XXBTZUSD,104432.7,431.64127943,104430.0,104430.1,104200.0,106489.3,105161.84464,9141
2024-12-18 04:20:04,XXBTZUSD,104430.0,431.66147943,104430.0,104430.1,104200.0,106489.3,105161.81039,9143
2024-12-18 04:20:07,XXBTZUSD,104430.0,431.66147943,104429.1,104429.2,104200.0,106489.3,105161.81039,9143
2024-12-18 04:20:10,XXBTZUSD,104430.0,431.66147943,104429.1,104429.2,104200.0,106489.3,105161.81039,9143
2024-12-18 04:20:14,XXBTZUSD,104429.1,431.66172345,104429.1,104429.2,104200.0,106489.3,105161.80998,9145
2024-12-18 04:20:17,XXBTZUSD,104429.2,431.66268102,104429.1,104429.2,104200.0,106489.3,105161.80835,9146
2024-12-18 04:20:20,XXBTZUSD,104429.2,431.66268102,104429.1,104429.2,104200.0,106489.3,105161.80835,9146
2024-12-18 04:20:23,XXBTZUSD,104429.2,431.66268102,104429.1,104429.2,104200.0,106489.3,105161.80835,9146
2024-12-18 04:20:26,XXBTZUSD,104429.2,432.02593941,104429.1,104429.2,104200.0,106489.3,105161.19236,9147
2024-12-18 04:20:30,XXBTZUSD,104429.2,432.02693941,104429.1,104429.2,104200.0,106489.3,105161.19066,9148
2024-12-18 04:20:33,XXBTZUSD,104429.2,432.02703283,104429.1,104429.2,104200.0,106489.3,105161.19051,9149
2024-12-18 04:20:36,XXBTZUSD,104429.2,432.02703283,104429.1,104429.2,104200.0,106489.3,105161.19051,9149
2024-12-18 04:20:39,XXBTZUSD,104429.2,432.02703283,104429.1,104429.2,104200.0,106489.3,105161.19051,9149
2024-12-18 04:20:42,XXBTZUSD,104433.3,432.02938844,104429.1,104429.2,104200.0,106489.3,105161.18653,9151
2024-12-18 04:20:45,XXBTZUSD,104433.3,432.02938844,104429.1,104429.2,104200.0,106489.3,105161.18653,9151
2024-12-18 04:20:48,XXBTZUSD,104433.3,432.02938844,104429.1,104429.2,104200.0,106489.3,105161.18653,9151
2024-12-18 04:20:52,XXBTZUSD,104433.3,432.02938844,104429.1,104429.2,104200.0,106489.3,105161.18653,9151
2024-12-18 04:20:55,XXBTZUSD,104433.3,432.02938844,104429.1,104429.2,104200.0,106489.3,105161.18653,9151
2024-12-18 04:20:58,XXBTZUSD,104429.1,432.02969232,104429.1,104429.2,104200.0,106489.3,105161.18601,9152
2024-12-18 04:21:01,XXBTZUSD,104429.1,432.02969232,104429.1,104429.2,104200.0,106489.3,105161.18601,9152
2024-12-18 04:21:04,XXBTZUSD,104429.1,432.02969232,104429.1,104429.2,104200.0,106489.3,105161.18601,9152
2024-12-18 04:21:07,XXBTZUSD,104429.1,432.02969232,104429.1,104429.2,104200.0,106489.3,105161.18601,9152
2024-12-18 04:21:10,XXBTZUSD,104429.1,432.02969232,104429.1,104429.2,104200.0,106489.3,105161.18601,9152
2024-12-18 04:21:13,XXBTZUSD,104429.1,432.02969232,104429.1,104429.2,104200.0,106489.3,105161.18601,9152
2024-12-18 04:21:17,XXBTZUSD,104429.1,432.02969232,104429.1,104429.2,104200.0,106489.3,105161.18601,9152
2024-12-18 04:21:20,XXBTZUSD,104429.1,432.02969232,104429.1,104429.2,104200.0,106489.3,105161.18601,9152
2024-12-18 04:21:24,XXBTZUSD,104429.1,432.02969232,104429.1,104429.2,104200.0,106489.3,105161.18601,9152
2024-12-18 04:21:27,XXBTZUSD,104429.2,432.03470341,104429.1,104429.2,104200.0,106489.3,105161.17752,9153
